"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: alphalength","Param: expression","Param: numberOfDecisionTableRules","Param: numberOfDecisions","Param: numberOfDecisionsWithBKM","Param: numberOfDecisionsWithContext","Param: numberOfElements","Param: param","Param: resourceName","Param: sparseness","Param: useAlphaNetworkCompiled","Param: useExecModelCompiler"
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.056196,0.002777,"us/op",,(1..2),,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.049901,0.000275,"us/op",,"[""a""..""z""]",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.067463,0.002431,"us/op",,"[date(""1978-09-12"")..date(""1978-10-13"")]",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateExpressionBenchmark","avgt",1,100,132.489155,1.242315,"us/op",,[1..2],,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateExpressionBenchmark","avgt",1,100,130.328950,1.171284,"us/op",,[1..2),,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateExpressionBenchmark","avgt",1,100,137.173599,2.482892,"us/op",,(1..2],,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateExpressionBenchmark","avgt",1,100,133.137941,1.699225,"us/op",,(1..2),,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateExpressionBenchmark","avgt",1,100,135.333193,1.336381,"us/op",,"[""a""..""z""]",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELRangeBenchmark.evaluateExpressionBenchmark","avgt",1,100,293.200733,2.270469,"us/op",,"[date(""1978-09-12"")..date(""1978-10-13"")]",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.054256,0.000326,"us/op",,"true and true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.061518,0.001437,"us/op",,"true and null",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.057913,0.000951,"us/op",,"false or true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.058586,0.001453,"us/op",,"false and null",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.063626,0.001133,"us/op",,"false and false or true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.051110,0.000305,"us/op",,"true and true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.049618,0.000612,"us/op",,"true and null",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.051907,0.001722,"us/op",,"false or true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.052296,0.001943,"us/op",,"false and null",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.056734,0.002621,"us/op",,"false and false or true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateExpressionBenchmark","avgt",1,100,7.981553,0.065268,"us/op",,"true and true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateExpressionBenchmark","avgt",1,100,8.311923,0.095289,"us/op",,"true and null",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateExpressionBenchmark","avgt",1,100,7.868141,0.074572,"us/op",,"false or true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateExpressionBenchmark","avgt",1,100,8.159724,0.105545,"us/op",,"false and null",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELTernaryLogicBenchmark.evaluateExpressionBenchmark","avgt",1,100,10.188132,0.176802,"us/op",,"false and false or true",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.055887,0.002648,"us/op",,null,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.052081,0.001156,"us/op",,true,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.237954,0.003021,"us/op",,"foo bar",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.048869,0.000865,"us/op",,1.12,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.048662,0.000543,"us/op",,null,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.054849,0.002662,"us/op",,true,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.050994,0.000959,"us/op",,"foo bar",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.048935,0.000377,"us/op",,1.12,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateExpressionBenchmark","avgt",1,100,6.143009,0.073164,"us/op",,null,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateExpressionBenchmark","avgt",1,100,6.013884,0.096287,"us/op",,true,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateExpressionBenchmark","avgt",1,100,42.122461,0.437371,"us/op",,"foo bar",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.FEELValuesConstantsBenchmark.evaluateExpressionBenchmark","avgt",1,100,6.413102,0.048419,"us/op",,1.12,,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.054753,0.000842,"us/op",,"date(""2016-07-29"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.671946,0.007658,"us/op",,"date( date and time(""2016-07-29T05:48:23.765-05:00"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.051519,0.001714,"us/op",,"date(""2016-07-29"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.516097,0.007706,"us/op",,"date( date and time(""2016-07-29T05:48:23.765-05:00"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateBenchmark.evaluateExpressionBenchmark","avgt",1,100,44.982968,0.669249,"us/op",,"date(""2016-07-29"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateBenchmark.evaluateExpressionBenchmark","avgt",1,100,140.071739,1.016118,"us/op",,"date( date and time(""2016-07-29T05:48:23.765-05:00"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.062261,0.001723,"us/op",,"date and time(""2016-07-29T05:48:23"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,1.429461,0.013192,"us/op",,"date and time( 2016, 7, 29, 5, 48, 23 )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.056830,0.000512,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,1.200639,0.014220,"us/op",,"date and time(date(""2016-07-29""), time(""05:48:23-05:00"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.052748,0.001430,"us/op",,"date and time(""2016-07-29T05:48:23"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,1.283171,0.018974,"us/op",,"date and time( 2016, 7, 29, 5, 48, 23 )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.055612,0.002658,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,1.069024,0.019960,"us/op",,"date and time(date(""2016-07-29""), time(""05:48:23-05:00"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateExpressionBenchmark","avgt",1,100,128.019813,0.956746,"us/op",,"date and time(""2016-07-29T05:48:23"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateExpressionBenchmark","avgt",1,100,279.787696,1.111065,"us/op",,"date and time( 2016, 7, 29, 5, 48, 23 )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateExpressionBenchmark","avgt",1,100,119.204502,1.180467,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"")",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeBenchmark.evaluateExpressionBenchmark","avgt",1,100,259.570613,2.696632,"us/op",,"date and time(date(""2016-07-29""), time(""05:48:23-05:00"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.111668,0.002068,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").year",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.109033,0.002097,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").month",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.109982,0.003998,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").day",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.106873,0.001274,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").hour",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.109423,0.002877,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").minute",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.114472,0.002575,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").second",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.104902,0.002156,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").time offset",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.101559,0.002839,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").year",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.094642,0.001633,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").month",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.095720,0.003102,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").day",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.096077,0.002611,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").hour",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.093314,0.001724,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").minute",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.096087,0.000797,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").second",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.085735,0.000452,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").time offset",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,139.263647,1.137907,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").year",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,138.149255,0.408067,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").month",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,135.975310,0.949930,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").day",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,137.038225,1.380151,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").hour",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,132.396729,0.663160,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").minute",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,139.553622,1.305314,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").second",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateTimeUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,149.911279,1.172314,"us/op",,"date and time(""2016-07-29T05:48:23-05:00"").time offset",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.110797,0.001340,"us/op",,"date( 2016, 8, 2 ).year",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.108231,0.000904,"us/op",,"date( 2016, 8, 2 ).month",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.106000,0.002384,"us/op",,"date( 2016, 8, 2 ).day",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.120849,0.002382,"us/op",,"date( 2016, 8, 2 ).weekday",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.099168,0.002956,"us/op",,"date( 2016, 8, 2 ).year",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.097505,0.002343,"us/op",,"date( 2016, 8, 2 ).month",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.102085,0.002687,"us/op",,"date( 2016, 8, 2 ).day",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.107911,0.001627,"us/op",,"date( 2016, 8, 2 ).weekday",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,52.675122,0.512639,"us/op",,"date( 2016, 8, 2 ).year",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,54.534258,0.772701,"us/op",,"date( 2016, 8, 2 ).month",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,53.400829,0.688005,"us/op",,"date( 2016, 8, 2 ).day",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDateUnitSelectionBenchmark.evaluateExpressionBenchmark","avgt",1,100,53.535841,0.574751,"us/op",,"date( 2016, 8, 2 ).weekday",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.056739,0.001248,"us/op",,"duration( ""P2DT20H14M"" )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.055616,0.001707,"us/op",,"duration( ""P2Y2M"" )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.526813,0.003422,"us/op",,"years and months duration( date(""2011-12-22""), date(""2013-08-24"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.053564,0.002426,"us/op",,"duration( ""P2DT20H14M"" )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.050720,0.002745,"us/op",,"duration( ""P2Y2M"" )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateCompiledJavaExpressionBenchmark","avgt",1,100,0.449255,0.009148,"us/op",,"years and months duration( date(""2011-12-22""), date(""2013-08-24"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateExpressionBenchmark","avgt",1,100,45.555029,0.337754,"us/op",,"duration( ""P2DT20H14M"" )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateExpressionBenchmark","avgt",1,100,46.897732,0.398813,"us/op",,"duration( ""P2Y2M"" )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationBenchmark.evaluateExpressionBenchmark","avgt",1,100,268.161166,3.644549,"us/op",,"years and months duration( date(""2011-12-22""), date(""2013-08-24"") )",,,,,,,,,,
"org.drools.benchmarks.dmn.feel.datetime.FEELDurationUnitSelectionBenchmark.evaluateCompiledButInterpretedExpression","avgt",1,100,0.108106,0.005823,"us/op",,"duration( ""P2DT20H14M5S"" ).days",,,,,,,,,,
